Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
DCN_MET	DCN	decorin	MET	met proto-oncogene									10942781	novel	literature supported
DEFB103A_CCR6	DEFB103A	defensin, beta 103A	CCR6	chemokine (C-C motif) receptor 6				HPRD				CCR6		novel	literature supported
DEFB103B_CCR2	DEFB103B	defensin, beta 103B	CCR2	chemokine (C-C motif) receptor 2									23390582	novel	literature supported
DEFB103B_CCR6	DEFB103B	defensin, beta 103B	CCR6	chemokine (C-C motif) receptor 6									23390582	novel	literature supported
DEFB1_CCR6	DEFB1	defensin, beta 1	CCR6	chemokine (C-C motif) receptor 6				HPRD	STRING.binding		DEFB1	CCR6		novel	literature supported
DEFB4A_CCR6	DEFB4A	defensin, beta 4A	CCR6	chemokine (C-C motif) receptor 6			IUPHAR	HPRD	STRING.binding			CCR6		known	literature supported
DEFB4A_TLR4	DEFB4A	defensin, beta 4A	TLR4	toll-like receptor 4				HPRD				TLR4		novel	literature supported
DEFB4B_CCR6	DEFB4B	defensin, beta 4B	CCR6	chemokine (C-C motif) receptor 6			IUPHAR					CCR6		known	literature supported
DHH_BOC	DHH	desert hedgehog	BOC	BOC cell adhesion associated, oncogene regulated					STRING.binding	STRING.experiment	DHH	BOC	20519495	novel	literature supported
DHH_CDON	DHH	desert hedgehog	CDON	cell adhesion associated, oncogene regulated					STRING.binding	STRING.experiment	DHH	CDON	20519495	novel	literature supported
DHH_HHIP	DHH	desert hedgehog	HHIP	hedgehog interacting protein		HPMR		HPRD	STRING.binding	STRING.experiment	DHH	HHIP		known	literature supported
DHH_PTCH1	DHH	desert hedgehog	PTCH1	patched 1				HPRD	STRING.binding		DHH	PTCH		novel	literature supported
DHH_PTCH2	DHH	desert hedgehog	PTCH2	patched 2		HPMR		HPRD	STRING.binding		DHH	PTCH2		known	literature supported
DKK1_KREMEN1	DKK1	dickkopf WNT signaling pathway inhibitor 1	KREMEN1	kringle containing transmembrane protein 1		HPMR		HPRD	STRING.binding	STRING.experiment	DKK1	KREMEN1		known	literature supported
DKK1_KREMEN2	DKK1	dickkopf WNT signaling pathway inhibitor 1	KREMEN2	kringle containing transmembrane protein 2		HPMR			STRING.binding		DKK1	KREMEN2		known	literature supported
DKK1_LRP5	DKK1	dickkopf WNT signaling pathway inhibitor 1	LRP5	low density lipoprotein receptor-related protein 5				HPRD	STRING.binding		DKK1	LRP5		novel	literature supported
DKK1_LRP6	DKK1	dickkopf WNT signaling pathway inhibitor 1	LRP6	low density lipoprotein receptor-related protein 6		HPMR		HPRD	STRING.binding	STRING.experiment	DKK1	LRP6		known	literature supported
DKK2_KREMEN2	DKK2	dickkopf WNT signaling pathway inhibitor 2	KREMEN2	kringle containing transmembrane protein 2					STRING.binding		DKK2	KREMEN2	12527209	novel	literature supported
DKK2_LRP6	DKK2	dickkopf WNT signaling pathway inhibitor 2	LRP6	low density lipoprotein receptor-related protein 6		HPMR		HPRD	STRING.binding	STRING.experiment	DKK2	LRP6		known	literature supported
DLK1_NOTCH1	DLK1	delta-like 1 homolog (Drosophila)	NOTCH1	notch 1	DLRP				STRING.binding			NOTCH1	21419176	known	literature supported
DLK1_NOTCH2	DLK1	delta-like 1 homolog (Drosophila)	NOTCH2	notch 2	DLRP							NOTCH2		known	putative
DLK1_NOTCH3	DLK1	delta-like 1 homolog (Drosophila)	NOTCH3	notch 3	DLRP							NOTCH3		known	putative
DLK1_NOTCH4	DLK1	delta-like 1 homolog (Drosophila)	NOTCH4	notch 4	DLRP							NOTCH4		known	putative
DLK2_NOTCH1	DLK2	delta-like 2 homolog (Drosophila)	NOTCH1	notch 1									21419176	novel	literature supported
DLL1_NOTCH1	DLL1	delta-like 1 (Drosophila)	NOTCH1	notch 1	DLRP	HPMR		HPRD	STRING.binding		DLL1	NOTCH1		known	literature supported
DLL1_NOTCH2	DLL1	delta-like 1 (Drosophila)	NOTCH2	notch 2	DLRP			HPRD	STRING.binding	STRING.experiment	DLL1	NOTCH2		known	literature supported
DLL1_NOTCH3	DLL1	delta-like 1 (Drosophila)	NOTCH3	notch 3	DLRP			HPRD	STRING.binding	STRING.experiment	DLL1	NOTCH3		known	literature supported
DLL1_NOTCH4	DLL1	delta-like 1 (Drosophila)	NOTCH4	notch 4	DLRP						DLL1	NOTCH4		known	putative
DLL3_NOTCH1	DLL3	delta-like 3 (Drosophila)	NOTCH1	notch 1	DLRP						DLL3	NOTCH1		known	putative
DLL3_NOTCH2	DLL3	delta-like 3 (Drosophila)	NOTCH2	notch 2	DLRP						DLL3	NOTCH2		known	putative
DLL3_NOTCH3	DLL3	delta-like 3 (Drosophila)	NOTCH3	notch 3	DLRP						DLL3	NOTCH3		known	putative
DLL3_NOTCH4	DLL3	delta-like 3 (Drosophila)	NOTCH4	notch 4	DLRP						DLL3	NOTCH4		known	putative
DLL4_NOTCH1	DLL4	delta-like 4 (Drosophila)	NOTCH1	notch 1	DLRP	HPMR		HPRD	STRING.binding		DLL4	NOTCH1		known	literature supported
DLL4_NOTCH2	DLL4	delta-like 4 (Drosophila)	NOTCH2	notch 2	DLRP				STRING.binding		DLL4	NOTCH2	22842086	known	literature supported
DLL4_NOTCH3	DLL4	delta-like 4 (Drosophila)	NOTCH3	notch 3	DLRP				STRING.binding		DLL4	NOTCH3	18182388	known	literature supported
DLL4_NOTCH4	DLL4	delta-like 4 (Drosophila)	NOTCH4	notch 4	DLRP	HPMR		HPRD			DLL4	NOTCH4		known	literature supported
DSCAM_DCC	DSCAM	Down syndrome cell adhesion molecule	DCC	deleted in colorectal carcinoma					STRING.binding			DCC		novel	putative
DUSP18_CD151	DUSP18	dual specificity phosphatase 18	CD151	CD151 molecule (Raph blood group)		HPMR					DUSP18	CD151		known	EXCLUDED not ligand
DUSP18_ITGA1	DUSP18	dual specificity phosphatase 18	ITGA1	integrin, alpha 1		HPMR					DUSP18	ITGA1		known	EXCLUDED not ligand
DUSP18_ITGA2	DUSP18	dual specificity phosphatase 18	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)		HPMR					DUSP18	ITGA2		known	EXCLUDED not ligand
DUSP18_ITGA3	DUSP18	dual specificity phosphatase 18	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)		HPMR					DUSP18	ITGA3		known	EXCLUDED not ligand
DUSP18_ITGA6	DUSP18	dual specificity phosphatase 18	ITGA6	integrin, alpha 6		HPMR					DUSP18	ITGA6		known	EXCLUDED not ligand
DUSP18_ITGA7	DUSP18	dual specificity phosphatase 18	ITGA7	integrin, alpha 7		HPMR					DUSP18	ITGA7		known	EXCLUDED not ligand
DUSP18_ITGB1	DUSP18	dual specificity phosphatase 18	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR					DUSP18	ITGB1		known	EXCLUDED not ligand
DUSP18_ITGB4	DUSP18	dual specificity phosphatase 18	ITGB4	integrin, beta 4		HPMR					DUSP18	ITGB4		known	EXCLUDED not ligand
DUSP18_RPSA	DUSP18	dual specificity phosphatase 18	RPSA	ribosomal protein SA		HPMR					DUSP18	RPSA		known	EXCLUDED not ligand
EBI3_IL27RA	EBI3	Epstein-Barr virus induced 3	IL27RA	interleukin 27 receptor, alpha				HPRD	STRING.binding					novel	literature supported
EBI3_IL6ST	EBI3	Epstein-Barr virus induced 3	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)					STRING.binding			IL6ST		novel	putative
ECM1_CACHD1	ECM1	extracellular matrix protein 1	CACHD1	cache domain containing 1					STRING.binding					novel	putative
EDA_EDA2R	EDA	ectodysplasin A	EDA2R	ectodysplasin A2 receptor		HPMR	IUPHAR	HPRD			EDA	EDA2R		known	literature supported
EDA_EDAR	EDA	ectodysplasin A	EDAR	ectodysplasin A receptor		HPMR	IUPHAR	HPRD		STRING.experiment	EDA	EDAR		known	literature supported
EDIL3_ITGAV	EDIL3	EGF-like repeats and discoidin I-like domains 3	ITGAV	integrin, alpha V				HPRD	STRING.binding			ITGAV		novel	literature supported
EDIL3_ITGB5	EDIL3	EGF-like repeats and discoidin I-like domains 3	ITGB5	integrin, beta 5					STRING.binding			ITGB5		novel	putative
EDN1_EDNRA	EDN1	endothelin 1	EDNRA	endothelin receptor type A		HPMR	IUPHAR	HPRD	STRING.binding		EDN1	EDNRA		known	literature supported
EDN1_EDNRB	EDN1	endothelin 1	EDNRB	endothelin receptor type B				HPRD	STRING.binding		EDN1	EDNRB		novel	literature supported
EDN1_ELTD1	EDN1	endothelin 1	ELTD1	EGF, latrophilin and seven transmembrane domain containing 1					STRING.binding		EDN1	ELTD1		novel	putative
EDN1_KEL	EDN1	endothelin 1	KEL	Kell blood group, metallo-endopeptidase				HPRD			EDN1			novel	literature supported
EDN2_EDNRA	EDN2	endothelin 2	EDNRA	endothelin receptor type A		HPMR	IUPHAR		STRING.binding		EDN2	EDNRA		known	literature supported
EDN2_EDNRB	EDN2	endothelin 2	EDNRB	endothelin receptor type B					STRING.binding		EDN2	EDNRB	14659083	novel	literature supported
EDN2_KEL	EDN2	endothelin 2	KEL	Kell blood group, metallo-endopeptidase				HPRD			EDN2			novel	literature supported
EDN3_EDNRA	EDN3	endothelin 3	EDNRA	endothelin receptor type A				HPRD	STRING.binding		EDN3	EDNRA		novel	literature supported
EDN3_EDNRB	EDN3	endothelin 3	EDNRB	endothelin receptor type B		HPMR	IUPHAR	HPRD	STRING.binding		EDN3	EDNRB		known	literature supported
EDN3_KEL	EDN3	endothelin 3	KEL	Kell blood group, metallo-endopeptidase				HPRD			EDN3			novel	literature supported
EFEMP1_EGFR	EFEMP1	EGF containing fibulin-like extracellular matrix protein 1	EGFR	epidermal growth factor receptor					STRING.binding			EGFR	19804359	novel	literature supported
EFEMP2_AQP1	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	AQP1	aquaporin 1 (Colton blood group)				HPRD						novel	literature supported
EFEMP2_CATSPER1	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	CATSPER1	cation channel, sperm associated 1				HPRD						novel	literature supported
EFEMP2_LINGO1	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	LINGO1	leucine rich repeat and Ig domain containing 1				HPRD				LRRN6A		novel	literature supported
EFEMP2_PLSCR4	EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	PLSCR4	phospholipid scramblase 4				HPRD						novel	literature supported
EFNA1_EPHA1	EFNA1	ephrin-A1	EPHA1	EPH receptor A1	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA1	EPHA1		known	literature supported
EFNA1_EPHA2	EFNA1	ephrin-A1	EPHA2	EPH receptor A2	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA1	EPHA2		known	literature supported
EFNA1_EPHA3	EFNA1	ephrin-A1	EPHA3	EPH receptor A3	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA1	EPHA3		known	literature supported
EFNA1_EPHA4	EFNA1	ephrin-A1	EPHA4	EPH receptor A4	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA1	EPHA4		known	literature supported
EFNA1_EPHA5	EFNA1	ephrin-A1	EPHA5	EPH receptor A5	DLRP	HPMR		HPRD		STRING.experiment	EFNA1	EPHA5		known	literature supported
EFNA1_EPHA6	EFNA1	ephrin-A1	EPHA6	EPH receptor A6		HPMR		HPRD		STRING.experiment	EFNA1	EPHA6		known	literature supported
EFNA1_EPHA7	EFNA1	ephrin-A1	EPHA7	EPH receptor A7	DLRP	HPMR		HPRD		STRING.experiment	EFNA1	EPHA7		known	literature supported
EFNA1_EPHA8	EFNA1	ephrin-A1	EPHA8	EPH receptor A8	DLRP			HPRD			EFNA1	EPHA8		known	literature supported
EFNA1_EPHB1	EFNA1	ephrin-A1	EPHB1	EPH receptor B1				HPRD			EFNA1	EPHB1		novel	literature supported
EFNA1_EPHB6	EFNA1	ephrin-A1	EPHB6	EPH receptor B6					STRING.binding	STRING.experiment	EFNA1	EPHB6		novel	putative
EFNA2_EPHA1	EFNA2	ephrin-A2	EPHA1	EPH receptor A1	DLRP						EFNA2	EPHA1		known	putative
EFNA2_EPHA2	EFNA2	ephrin-A2	EPHA2	EPH receptor A2	DLRP			HPRD		STRING.experiment	EFNA2	EPHA2		known	literature supported
EFNA2_EPHA3	EFNA2	ephrin-A2	EPHA3	EPH receptor A3	DLRP	HPMR		HPRD	STRING.binding		EFNA2	EPHA3		known	literature supported
EFNA2_EPHA4	EFNA2	ephrin-A2	EPHA4	EPH receptor A4	DLRP	HPMR			STRING.binding	STRING.experiment	EFNA2	EPHA4		known	literature supported
EFNA2_EPHA5	EFNA2	ephrin-A2	EPHA5	EPH receptor A5	DLRP	HPMR		HPRD	STRING.binding		EFNA2	EPHA5		known	literature supported
EFNA2_EPHA6	EFNA2	ephrin-A2	EPHA6	EPH receptor A6		HPMR			STRING.binding		EFNA2	EPHA6		known	literature supported
EFNA2_EPHA7	EFNA2	ephrin-A2	EPHA7	EPH receptor A7	DLRP	HPMR			STRING.binding		EFNA2	EPHA7		known	literature supported
EFNA2_EPHA8	EFNA2	ephrin-A2	EPHA8	EPH receptor A8	DLRP	HPMR					EFNA2	EPHA8		known	literature supported
EFNA3_EPHA1	EFNA3	ephrin-A3	EPHA1	EPH receptor A1	DLRP						EFNA3	EPHA1	16466970	known	literature supported
EFNA3_EPHA2	EFNA3	ephrin-A3	EPHA2	EPH receptor A2	DLRP	HPMR		HPRD			EFNA3	EPHA2		known	literature supported
EFNA3_EPHA3	EFNA3	ephrin-A3	EPHA3	EPH receptor A3	DLRP	HPMR					EFNA3	EPHA3		known	literature supported
EFNA3_EPHA4	EFNA3	ephrin-A3	EPHA4	EPH receptor A4	DLRP	HPMR		HPRD	STRING.binding		EFNA3	EPHA4		known	literature supported
EFNA3_EPHA5	EFNA3	ephrin-A3	EPHA5	EPH receptor A5	DLRP	HPMR		HPRD			EFNA3	EPHA5		known	literature supported
EFNA3_EPHA6	EFNA3	ephrin-A3	EPHA6	EPH receptor A6		HPMR			STRING.binding	STRING.experiment	EFNA3	EPHA6		known	literature supported
EFNA3_EPHA7	EFNA3	ephrin-A3	EPHA7	EPH receptor A7	DLRP	HPMR		HPRD			EFNA3	EPHA7		known	literature supported
EFNA3_EPHA8	EFNA3	ephrin-A3	EPHA8	EPH receptor A8	DLRP	HPMR					EFNA3	EPHA8		known	literature supported
EFNA3_EPHB1	EFNA3	ephrin-A3	EPHB1	EPH receptor B1		HPMR					EFNA3	EPHB1		known	literature supported
EFNA3_EPHB6	EFNA3	ephrin-A3	EPHB6	EPH receptor B6					STRING.binding	STRING.experiment	EFNA3	EPHB6		novel	putative
EFNA4_EPHA1	EFNA4	ephrin-A4	EPHA1	EPH receptor A1	DLRP						EFNA4	EPHA1		known	putative
EFNA4_EPHA2	EFNA4	ephrin-A4	EPHA2	EPH receptor A2	DLRP	HPMR		HPRD			EFNA4	EPHA2		known	literature supported
EFNA4_EPHA3	EFNA4	ephrin-A4	EPHA3	EPH receptor A3	DLRP						EFNA4	EPHA3	8755474	known	literature supported
EFNA4_EPHA4	EFNA4	ephrin-A4	EPHA4	EPH receptor A4	DLRP			HPRD			EFNA4	EPHA4		known	literature supported
EFNA4_EPHA5	EFNA4	ephrin-A4	EPHA5	EPH receptor A5	DLRP	HPMR		HPRD			EFNA4	EPHA5		known	literature supported
EFNA4_EPHA6	EFNA4	ephrin-A4	EPHA6	EPH receptor A6		HPMR		HPRD			EFNA4	EPHA6		known	literature supported
EFNA4_EPHA7	EFNA4	ephrin-A4	EPHA7	EPH receptor A7	DLRP			HPRD			EFNA4	EPHA7		known	literature supported
EFNA4_EPHA8	EFNA4	ephrin-A4	EPHA8	EPH receptor A8	DLRP			HPRD			EFNA4	EPHA8		known	literature supported
EFNA5_EPHA1	EFNA5	ephrin-A5	EPHA1	EPH receptor A1	DLRP						EFNA5	EPHA1		known	putative
EFNA5_EPHA2	EFNA5	ephrin-A5	EPHA2	EPH receptor A2	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA5	EPHA2		known	literature supported
EFNA5_EPHA3	EFNA5	ephrin-A5	EPHA3	EPH receptor A3	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA5	EPHA3		known	literature supported
EFNA5_EPHA4	EFNA5	ephrin-A5	EPHA4	EPH receptor A4	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNA5	EPHA4		known	literature supported
EFNA5_EPHA5	EFNA5	ephrin-A5	EPHA5	EPH receptor A5	DLRP	HPMR		HPRD	STRING.binding		EFNA5	EPHA5		known	literature supported
EFNA5_EPHA6	EFNA5	ephrin-A5	EPHA6	EPH receptor A6		HPMR			STRING.binding	STRING.experiment	EFNA5	EPHA6		known	literature supported
EFNA5_EPHA7	EFNA5	ephrin-A5	EPHA7	EPH receptor A7	DLRP			HPRD	STRING.binding	STRING.experiment	EFNA5	EPHA7		known	literature supported
EFNA5_EPHA8	EFNA5	ephrin-A5	EPHA8	EPH receptor A8	DLRP	HPMR		HPRD	STRING.binding		EFNA5	EPHA8		known	literature supported
EFNA5_EPHB1	EFNA5	ephrin-A5	EPHB1	EPH receptor B1				HPRD			EFNA5	EPHB1		novel	literature supported
EFNA5_EPHB2	EFNA5	ephrin-A5	EPHB2	EPH receptor B2		HPMR		HPRD	STRING.binding		EFNA5	EPHB2		known	literature supported
EFNA5_EPHB6	EFNA5	ephrin-A5	EPHB6	EPH receptor B6					STRING.binding	STRING.experiment	EFNA5	EPHB6	15107857	novel	literature supported
EFNB1_EPHA4	EFNB1	ephrin-B1	EPHA4	EPH receptor A4	DLRP				STRING.binding		EFNB1	EPHA4		known	putative
EFNB1_EPHA6	EFNB1	ephrin-B1	EPHA6	EPH receptor A6					STRING.binding	STRING.experiment	EFNB1	EPHA6		novel	putative
EFNB1_EPHB1	EFNB1	ephrin-B1	EPHB1	EPH receptor B1	DLRP	HPMR		HPRD	STRING.binding		EFNB1	EPHB1		known	literature supported
EFNB1_EPHB2	EFNB1	ephrin-B1	EPHB2	EPH receptor B2	DLRP	HPMR		HPRD	STRING.binding		EFNB1	EPHB2		known	literature supported
EFNB1_EPHB3	EFNB1	ephrin-B1	EPHB3	EPH receptor B3	DLRP	HPMR			STRING.binding		EFNB1	EPHB3		known	literature supported
EFNB1_EPHB4	EFNB1	ephrin-B1	EPHB4	EPH receptor B4	DLRP	HPMR					EFNB1	EPHB4		known	literature supported
EFNB1_EPHB6	EFNB1	ephrin-B1	EPHB6	EPH receptor B6	DLRP	HPMR			STRING.binding	STRING.experiment	EFNB1	EPHB6		known	literature supported
EFNB1_ERBB2	EFNB1	ephrin-B1	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2					STRING.binding		EFNB1	ERBB2	22279592	novel	literature supported
EFNB2_EPHA3	EFNB2	ephrin-B2	EPHA3	EPH receptor A3				HPRD	STRING.binding	STRING.experiment	EFNB2	EPHA3		novel	literature supported
EFNB2_EPHA4	EFNB2	ephrin-B2	EPHA4	EPH receptor A4	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNB2	EPHA4		known	literature supported
EFNB2_EPHA6	EFNB2	ephrin-B2	EPHA6	EPH receptor A6					STRING.binding	STRING.experiment	EFNB2	EPHA6	10648835	novel	literature supported
EFNB2_EPHB1	EFNB2	ephrin-B2	EPHB1	EPH receptor B1	DLRP	HPMR		HPRD	STRING.binding		EFNB2	EPHB1		known	literature supported
EFNB2_EPHB2	EFNB2	ephrin-B2	EPHB2	EPH receptor B2	DLRP	HPMR		HPRD	STRING.binding		EFNB2	EPHB2		known	literature supported
EFNB2_EPHB3	EFNB2	ephrin-B2	EPHB3	EPH receptor B3	DLRP	HPMR			STRING.binding		EFNB2	EPHB3		known	literature supported
EFNB2_EPHB4	EFNB2	ephrin-B2	EPHB4	EPH receptor B4	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	EFNB2	EPHB4		known	literature supported
EFNB2_EPHB6	EFNB2	ephrin-B2	EPHB6	EPH receptor B6	DLRP			HPRD	STRING.binding	STRING.experiment	EFNB2	EPHB6		known	literature supported
EFNB2_GRM1	EFNB2	ephrin-B2	GRM1	glutamate receptor, metabotropic 1				HPRD			EFNB2	GRM1		novel	literature supported
EFNB2_GRM5	EFNB2	ephrin-B2	GRM5	glutamate receptor, metabotropic 5				HPRD	STRING.binding		EFNB2	GRM5		novel	literature supported
EFNB2_PECAM1	EFNB2	ephrin-B2	PECAM1	platelet/endothelial cell adhesion molecule 1				HPRD			EFNB2			novel	literature supported
EFNB2_RHBDL2	EFNB2	ephrin-B2	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)				HPRD			EFNB2			novel	literature supported
EFNB3_EPHA4	EFNB3	ephrin-B3	EPHA4	EPH receptor A4	DLRP	HPMR		HPRD		STRING.experiment	EFNB3	EPHA4		known	literature supported
EFNB3_EPHB1	EFNB3	ephrin-B3	EPHB1	EPH receptor B1	DLRP				STRING.binding		EFNB3	EPHB1		known	putative
EFNB3_EPHB2	EFNB3	ephrin-B3	EPHB2	EPH receptor B2	DLRP	HPMR			STRING.binding		EFNB3	EPHB2		known	literature supported
EFNB3_EPHB3	EFNB3	ephrin-B3	EPHB3	EPH receptor B3	DLRP	HPMR		HPRD	STRING.binding		EFNB3	EPHB3		known	literature supported
EFNB3_EPHB4	EFNB3	ephrin-B3	EPHB4	EPH receptor B4	DLRP						EFNB3	EPHB4	8755474	known	literature supported
EFNB3_EPHB6	EFNB3	ephrin-B3	EPHB6	EPH receptor B6	DLRP				STRING.binding	STRING.experiment	EFNB3	EPHB6		known	putative
EFNB3_RHBDL2	EFNB3	ephrin-B3	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)				HPRD			EFNB3			novel	literature supported
EGFL8_NCR3	EGFL8	EGF-like-domain, multiple 8	NCR3	natural cytotoxicity triggering receptor 3					STRING.binding			NCR3		novel	putative
EGF_CAV1	EGF	epidermal growth factor	CAV1	caveolin 1, caveolae protein, 22kDa					STRING.binding		EGF			novel	putative
EGF_EGFR	EGF	epidermal growth factor	EGFR	epidermal growth factor receptor	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	EGF	EGFR		known	literature supported
EGF_ERBB2	EGF	epidermal growth factor	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2				HPRD	STRING.binding		EGF	ERBB2		novel	literature supported
EGF_ERBB3	EGF	epidermal growth factor	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3				HPRD	STRING.binding		EGF	ERBB3		novel	literature supported
EGF_ERBB4	EGF	epidermal growth factor	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4					STRING.binding	STRING.experiment	EGF	ERBB4	9305636	novel	literature supported
EGF_FSHR	EGF	epidermal growth factor	FSHR	follicle stimulating hormone receptor					STRING.binding		EGF	FSHR		novel	putative
EPGN_EGFR	EPGN	epithelial mitogen	EGFR	epidermal growth factor receptor			IUPHAR					EGFR		known	literature supported
EPO_EPOR	EPO	erythropoietin	EPOR	erythropoietin receptor	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	EPO	EPOR		known	literature supported
EREG_EGFR	EREG	epiregulin	EGFR	epidermal growth factor receptor	DLRP	HPMR	IUPHAR	HPRD	STRING.binding		EREG	EGFR		known	literature supported
EREG_ERBB2	EREG	epiregulin	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2					STRING.binding		EREG	ERBB2		novel	putative
EREG_ERBB3	EREG	epiregulin	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3					STRING.binding		EREG	ERBB3		novel	putative
EREG_ERBB4	EREG	epiregulin	ERBB4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	DLRP		IUPHAR	HPRD	STRING.binding		EREG	ERBB4		known	literature supported
F10_F3	F10	coagulation factor X	F3	coagulation factor III (thromboplastin, tissue factor)				HPRD	STRING.binding	STRING.experiment		F3		novel	literature supported
F10_ITGAM	F10	coagulation factor X	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)					STRING.binding			ITGAM		novel	putative
F10_ITGB2	F10	coagulation factor X	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)					STRING.binding			ITGB2		novel	putative
F11_GP1BA	F11	coagulation factor XI	GP1BA	glycoprotein Ib (platelet), alpha polypeptide				HPRD						novel	literature supported
F12_CD93	F12	coagulation factor XII (Hageman factor)	CD93	CD93 molecule				HPRD				CD93		novel	literature supported
F12_GP1BA	F12	coagulation factor XII (Hageman factor)	GP1BA	glycoprotein Ib (platelet), alpha polypeptide				HPRD						novel	literature supported
F13A1_ITGA4	F13A1	coagulation factor XIII, A1 polypeptide	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)					STRING.binding		F13A1	ITGA4	10816592	novel	literature supported
F13A1_ITGA9	F13A1	coagulation factor XIII, A1 polypeptide	ITGA9	integrin, alpha 9					STRING.binding		F13A1	ITGA9	10816592	novel	literature supported
F13A1_ITGB1	F13A1	coagulation factor XIII, A1 polypeptide	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding		F13A1	ITGB1	10816592	novel	literature supported
F2_F2R	F2	coagulation factor II (thrombin)	F2R	coagulation factor II (thrombin) receptor		HPMR		HPRD	STRING.binding	STRING.experiment	F2	F2R		known	literature supported
F2_F2RL1	F2	coagulation factor II (thrombin)	F2RL1	coagulation factor II (thrombin) receptor-like 1		HPMR		HPRD	STRING.binding		F2	F2RL1		known	literature supported
F2_F2RL2	F2	coagulation factor II (thrombin)	F2RL2	coagulation factor II (thrombin) receptor-like 2		HPMR		HPRD	STRING.binding		F2	F2RL2		known	literature supported
F2_F2RL3	F2	coagulation factor II (thrombin)	F2RL3	coagulation factor II (thrombin) receptor-like 3		HPMR		HPRD	STRING.binding		F2	F2RL3		known	literature supported
F2_GP1BA	F2	coagulation factor II (thrombin)	GP1BA	glycoprotein Ib (platelet), alpha polypeptide				HPRD	STRING.binding	STRING.experiment	F2			novel	literature supported
F2_GP1BB	F2	coagulation factor II (thrombin)	GP1BB	glycoprotein Ib (platelet), beta polypeptide					STRING.binding		F2			novel	putative
F2_GP9	F2	coagulation factor II (thrombin)	GP9	glycoprotein IX (platelet)					STRING.binding		F2		2207326	novel	literature supported
F2_ITGA2B	F2	coagulation factor II (thrombin)	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)				HPRD			F2	ITGA2B		novel	literature supported
F2_THBD	F2	coagulation factor II (thrombin)	THBD	thrombomodulin				HPRD	STRING.binding	STRING.experiment	F2	THBD		novel	literature supported
F7_F3	F7	coagulation factor VII (serum prothrombin conversion accelerator)	F3	coagulation factor III (thromboplastin, tissue factor)		HPMR		HPRD	STRING.binding	STRING.experiment	F7	F3		known	literature supported
F8_ASGR2	F8	coagulation factor VIII, procoagulant component	ASGR2	asialoglycoprotein receptor 2				HPRD			F8	ASGR2		novel	literature supported
F8_LDLR	F8	coagulation factor VIII, procoagulant component	LDLR	low density lipoprotein receptor					STRING.binding		F8	LDLR	15840700	novel	literature supported
F8_LRP1	F8	coagulation factor VIII, procoagulant component	LRP1	low density lipoprotein receptor-related protein 1		HPMR		HPRD			F8	LRP1		known	literature supported
F9_LRP1	F9	coagulation factor IX	LRP1	low density lipoprotein receptor-related protein 1		HPMR		HPRD			F9	LRP1		known	literature supported
