"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","Classification"
"471","CCL7_CCR2","CCL7","chemokine (C-C motif) ligand 7","CCR2","chemokine (C-C motif) receptor 2","cytokine"
"472","CCL7_CCR3","CCL7","chemokine (C-C motif) ligand 7","CCR3","chemokine (C-C motif) receptor 3","cytokine"
"473","CCL7_CCR5","CCL7","chemokine (C-C motif) ligand 7","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","cytokine"
"474","CCL7_CXCR3","CCL7","chemokine (C-C motif) ligand 7","CXCR3","chemokine (C-X-C motif) receptor 3","cytokine"
"475","CCL7_DARC","CCL7","chemokine (C-C motif) ligand 7","DARC","Duffy blood group, atypical chemokine receptor","cytokine"
"476","CCL8_ACKR2","CCL8","chemokine (C-C motif) ligand 8","ACKR2","atypical chemokine receptor 2","cytokine"
"477","CCL8_ACKR4","CCL8","chemokine (C-C motif) ligand 8","ACKR4","atypical chemokine receptor 4","cytokine"
"478","CCL8_CCR1","CCL8","chemokine (C-C motif) ligand 8","CCR1","chemokine (C-C motif) receptor 1","cytokine"
"479","CCL8_CCR2","CCL8","chemokine (C-C motif) ligand 8","CCR2","chemokine (C-C motif) receptor 2","cytokine"
"480","CCL8_CCR3","CCL8","chemokine (C-C motif) ligand 8","CCR3","chemokine (C-C motif) receptor 3","cytokine"
"481","CCL8_CCR5","CCL8","chemokine (C-C motif) ligand 8","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","cytokine"
"482","CCL8_DARC","CCL8","chemokine (C-C motif) ligand 8","DARC","Duffy blood group, atypical chemokine receptor","cytokine"
"483","CD14_ITGA4","CD14","CD14 molecule","ITGA4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","other"
"484","CD14_ITGB1","CD14","CD14 molecule","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"485","CD24_SELP","CD24","CD24 molecule","SELP","selectin P (granule membrane protein 140kDa, antigen CD62)","other"
"486","CD34_SELL","CD34","CD34 molecule","SELL","selectin L","other"
"487","CD34_SELP","CD34","CD34 molecule","SELP","selectin P (granule membrane protein 140kDa, antigen CD62)","other"
"488","CD40LG_CD40","CD40LG","CD40 ligand","CD40","CD40 molecule, TNF receptor superfamily member 5","checkpoint"
"489","CD40LG_ITGAM","CD40LG","CD40 ligand","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","checkpoint"
"490","CD40LG_ITGB2","CD40LG","CD40 ligand","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","checkpoint"
"491","CD40LG_TRAF3","CD40LG","CD40 ligand","TRAF3","TNF receptor-associated factor 3","checkpoint"
"492","CD55_CD97","CD55","CD55 molecule, decay accelerating factor for complement (Cromer blood group)","CD97","CD97 molecule","other"
"493","CD55_CR1","CD55","CD55 molecule, decay accelerating factor for complement (Cromer blood group)","CR1","complement component (3b/4b) receptor 1 (Knops blood group)","other"
"494","CD55_EMR2","CD55","CD55 molecule, decay accelerating factor for complement (Cromer blood group)","EMR2","egf-like module containing, mucin-like, hormone receptor-like 2","other"
"495","CD5L_CD5","CD5L","CD5 molecule-like","CD5","CD5 molecule","other"
"496","CD70_CD27","CD70","CD70 molecule","CD27","CD27 molecule","checkpoint"
"497","CDH1_CDH2","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","CDH2","cadherin 2, type 1, N-cadherin (neuronal)","other"
"498","CDH1_EGFR","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","EGFR","epidermal growth factor receptor","other"
"499","CDH1_ERBB3","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","ERBB3","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","other"
"500","CDH1_IGF1R","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","IGF1R","insulin-like growth factor 1 receptor","other"
"501","CDH1_ITGAE","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","ITGAE","integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)","other"
"502","CDH1_ITGB7","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","ITGB7","integrin, beta 7","other"
"503","CDH1_KLRG1","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","KLRG1","killer cell lectin-like receptor subfamily G, member 1","other"
"504","CDH1_LRP5","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","LRP5","low density lipoprotein receptor-related protein 5","other"
"505","CDH1_PTPRF","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","PTPRF","protein tyrosine phosphatase, receptor type, F","other"
"506","CDH1_PTPRM","CDH1","cadherin 1, type 1, E-cadherin (epithelial)","PTPRM","protein tyrosine phosphatase, receptor type, M","other"
"507","CELA3B_CHRM3","CELA3B","chymotrypsin-like elastase family, member 3B","CHRM3","cholinergic receptor, muscarinic 3","other"
"508","CEL_CXCR4","CEL","carboxyl ester lipase","CXCR4","chemokine (C-X-C motif) receptor 4","other"
"509","CFH_ITGAM","CFH","complement factor H","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"510","CFH_SELL","CFH","complement factor H","SELL","selectin L","other"
"511","CGA_FSHR","CGA","glycoprotein hormones, alpha polypeptide","FSHR","follicle stimulating hormone receptor","other"
"512","CGA_LHCGR","CGA","glycoprotein hormones, alpha polypeptide","LHCGR","luteinizing hormone/choriogonadotropin receptor","other"
"513","CGA_SIRPA","CGA","glycoprotein hormones, alpha polypeptide","SIRPA","signal-regulatory protein alpha","other"
"514","CGA_TSHR","CGA","glycoprotein hormones, alpha polypeptide","TSHR","thyroid stimulating hormone receptor","other"
"515","CGB8_SIRPA","CGB8","chorionic gonadotropin, beta polypeptide 8","SIRPA","signal-regulatory protein alpha","other"
"516","CGB_LHCGR","CGB","chorionic gonadotropin, beta polypeptide","LHCGR","luteinizing hormone/choriogonadotropin receptor","other"
"517","CGN_F11R","CGN","cingulin","F11R","F11 receptor","other"
"518","CGN_OCLN","CGN","cingulin","OCLN","occludin","other"
"519","CGN_TGFBR1","CGN","cingulin","TGFBR1","transforming growth factor, beta receptor 1","other"
"520","CGN_TGFBR2","CGN","cingulin","TGFBR2","transforming growth factor, beta receptor II (70/80kDa)","other"
"521","CHAD_ITGA2","CHAD","chondroadherin","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"522","CHAD_ITGB1","CHAD","chondroadherin","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"523","CLCF1_CNTFR","CLCF1","cardiotrophin-like cytokine factor 1","CNTFR","ciliary neurotrophic factor receptor","other"
"524","CLCF1_CRLF1","CLCF1","cardiotrophin-like cytokine factor 1","CRLF1","cytokine receptor-like factor 1","other"
"525","CLCF1_IL6ST","CLCF1","cardiotrophin-like cytokine factor 1","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","other"
"526","CLCF1_LIFR","CLCF1","cardiotrophin-like cytokine factor 1","LIFR","leukemia inhibitory factor receptor alpha","other"
"527","CLEC11A_KIT","CLEC11A","C-type lectin domain family 11, member A","KIT","v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","other"
"528","CLEC3A_CLEC10A","CLEC3A","C-type lectin domain family 3, member A","CLEC10A","C-type lectin domain family 10, member A","other"
"529","CLEC3A_CLEC2B","CLEC3A","C-type lectin domain family 3, member A","CLEC2B","C-type lectin domain family 2, member B","other"
"530","CNTF_CNTFR","CNTF","ciliary neurotrophic factor","CNTFR","ciliary neurotrophic factor receptor","other"
"531","CNTF_IL6R","CNTF","ciliary neurotrophic factor","IL6R","interleukin 6 receptor","other"
"532","CNTF_IL6ST","CNTF","ciliary neurotrophic factor","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","other"
"533","CNTF_LIFR","CNTF","ciliary neurotrophic factor","LIFR","leukemia inhibitory factor receptor alpha","other"
"534","CNTN2_CNTN1","CNTN2","contactin 2 (axonal)","CNTN1","contactin 1","other"
"535","CNTN2_CNTNAP2","CNTN2","contactin 2 (axonal)","CNTNAP2","contactin associated protein-like 2","other"
"536","CNTN2_NRCAM","CNTN2","contactin 2 (axonal)","NRCAM","neuronal cell adhesion molecule","other"
"537","CNTN2_NRP1","CNTN2","contactin 2 (axonal)","NRP1","neuropilin 1","other"
"538","CNTN4_PTPRG","CNTN4","contactin 4","PTPRG","protein tyrosine phosphatase, receptor type, G","other"
"539","COL11A1_DDR1","COL11A1","collagen, type XI, alpha 1","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"540","COL11A1_ITGA2","COL11A1","collagen, type XI, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"541","COL11A1_ITGB1","COL11A1","collagen, type XI, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"542","COL14A1_CD44","COL14A1","collagen, type XIV, alpha 1","CD44","CD44 molecule (Indian blood group)","other"
"543","COL18A1_GPC1","COL18A1","collagen, type XVIII, alpha 1","GPC1","glypican 1","other"
"544","COL18A1_GPC4","COL18A1","collagen, type XVIII, alpha 1","GPC4","glypican 4","other"
"545","COL18A1_ITGA5","COL18A1","collagen, type XVIII, alpha 1","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"546","COL18A1_ITGB1","COL18A1","collagen, type XVIII, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"547","COL18A1_KDR","COL18A1","collagen, type XVIII, alpha 1","KDR","kinase insert domain receptor (a type III receptor tyrosine kinase)","other"
"548","COL1A1_CD36","COL1A1","collagen, type I, alpha 1","CD36","CD36 molecule (thrombospondin receptor)","other"
"549","COL1A1_CD44","COL1A1","collagen, type I, alpha 1","CD44","CD44 molecule (Indian blood group)","other"
"550","COL1A1_CD93","COL1A1","collagen, type I, alpha 1","CD93","CD93 molecule","other"
"551","COL1A1_DDR1","COL1A1","collagen, type I, alpha 1","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"552","COL1A1_DDR2","COL1A1","collagen, type I, alpha 1","DDR2","discoidin domain receptor tyrosine kinase 2","other"
"553","COL1A1_FLT4","COL1A1","collagen, type I, alpha 1","FLT4","fms-related tyrosine kinase 4","other"
"554","COL1A1_ITGA1","COL1A1","collagen, type I, alpha 1","ITGA1","integrin, alpha 1","other"
"555","COL1A1_ITGA11","COL1A1","collagen, type I, alpha 1","ITGA11","integrin, alpha 11","other"
"556","COL1A1_ITGA2","COL1A1","collagen, type I, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"557","COL1A1_ITGA5","COL1A1","collagen, type I, alpha 1","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"558","COL1A1_ITGAV","COL1A1","collagen, type I, alpha 1","ITGAV","integrin, alpha V","other"
"559","COL1A1_ITGB1","COL1A1","collagen, type I, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"560","COL1A1_TMPRSS6","COL1A1","collagen, type I, alpha 1","TMPRSS6","transmembrane protease, serine 6","other"
"561","COL1A2_CD36","COL1A2","collagen, type I, alpha 2","CD36","CD36 molecule (thrombospondin receptor)","other"
"562","COL1A2_CD44","COL1A2","collagen, type I, alpha 2","CD44","CD44 molecule (Indian blood group)","other"
"563","COL1A2_CD93","COL1A2","collagen, type I, alpha 2","CD93","CD93 molecule","other"
"564","COL1A2_FLT4","COL1A2","collagen, type I, alpha 2","FLT4","fms-related tyrosine kinase 4","other"
"565","COL1A2_ITGA1","COL1A2","collagen, type I, alpha 2","ITGA1","integrin, alpha 1","other"
"566","COL1A2_ITGA11","COL1A2","collagen, type I, alpha 2","ITGA11","integrin, alpha 11","other"
"567","COL1A2_ITGA2","COL1A2","collagen, type I, alpha 2","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"568","COL1A2_ITGA2B","COL1A2","collagen, type I, alpha 2","ITGA2B","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","other"
"569","COL1A2_ITGAV","COL1A2","collagen, type I, alpha 2","ITGAV","integrin, alpha V","other"
"570","COL1A2_ITGB1","COL1A2","collagen, type I, alpha 2","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"571","COL1A2_ITGB3","COL1A2","collagen, type I, alpha 2","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","other"
"572","COL2A1_DDR1","COL2A1","collagen, type II, alpha 1","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"573","COL2A1_ITGA1","COL2A1","collagen, type II, alpha 1","ITGA1","integrin, alpha 1","other"
"574","COL2A1_ITGA10","COL2A1","collagen, type II, alpha 1","ITGA10","integrin, alpha 10","other"
"575","COL2A1_ITGA2","COL2A1","collagen, type II, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"576","COL2A1_ITGA2B","COL2A1","collagen, type II, alpha 1","ITGA2B","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","other"
"577","COL2A1_ITGB1","COL2A1","collagen, type II, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"578","COL2A1_MAG","COL2A1","collagen, type II, alpha 1","MAG","myelin associated glycoprotein","other"
"579","COL2A1_OR1E1","COL2A1","collagen, type II, alpha 1","OR1E1","olfactory receptor, family 1, subfamily E, member 1","other"
"580","COL2A1_TNFRSF10A","COL2A1","collagen, type II, alpha 1","TNFRSF10A","tumor necrosis factor receptor superfamily, member 10a","other"
"581","COL3A1_DDR1","COL3A1","collagen, type III, alpha 1","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"582","COL3A1_DDR2","COL3A1","collagen, type III, alpha 1","DDR2","discoidin domain receptor tyrosine kinase 2","other"
"583","COL3A1_ITGA2","COL3A1","collagen, type III, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"584","COL3A1_ITGB1","COL3A1","collagen, type III, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"585","COL3A1_MAG","COL3A1","collagen, type III, alpha 1","MAG","myelin associated glycoprotein","other"
"586","COL4A1_CD47","COL4A1","collagen, type IV, alpha 1","CD47","CD47 molecule","other"
"587","COL4A1_CD93","COL4A1","collagen, type IV, alpha 1","CD93","CD93 molecule","other"
"588","COL4A1_ITGA1","COL4A1","collagen, type IV, alpha 1","ITGA1","integrin, alpha 1","other"
"589","COL4A1_ITGA2","COL4A1","collagen, type IV, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"590","COL4A1_ITGAV","COL4A1","collagen, type IV, alpha 1","ITGAV","integrin, alpha V","other"
"591","COL4A1_ITGB1","COL4A1","collagen, type IV, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"592","COL4A1_ITGB8","COL4A1","collagen, type IV, alpha 1","ITGB8","integrin, beta 8","other"
"593","COL4A2_CD93","COL4A2","collagen, type IV, alpha 2","CD93","CD93 molecule","other"
"594","COL4A3_CD47","COL4A3","collagen, type IV, alpha 3 (Goodpasture antigen)","CD47","CD47 molecule","other"
"595","COL4A3_CD93","COL4A3","collagen, type IV, alpha 3 (Goodpasture antigen)","CD93","CD93 molecule","other"
"596","COL4A3_ITGA1","COL4A3","collagen, type IV, alpha 3 (Goodpasture antigen)","ITGA1","integrin, alpha 1","other"
"597","COL4A3_ITGA2","COL4A3","collagen, type IV, alpha 3 (Goodpasture antigen)","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"598","COL4A3_ITGAV","COL4A3","collagen, type IV, alpha 3 (Goodpasture antigen)","ITGAV","integrin, alpha V","other"
"599","COL4A3_ITGB1","COL4A3","collagen, type IV, alpha 3 (Goodpasture antigen)","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"600","COL4A4_CD47","COL4A4","collagen, type IV, alpha 4","CD47","CD47 molecule","other"
"601","COL4A4_CD93","COL4A4","collagen, type IV, alpha 4","CD93","CD93 molecule","other"
"602","COL4A4_ITGA1","COL4A4","collagen, type IV, alpha 4","ITGA1","integrin, alpha 1","other"
"603","COL4A4_ITGA2","COL4A4","collagen, type IV, alpha 4","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"604","COL4A4_ITGAV","COL4A4","collagen, type IV, alpha 4","ITGAV","integrin, alpha V","other"
"605","COL4A4_ITGB1","COL4A4","collagen, type IV, alpha 4","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"606","COL4A5_CD47","COL4A5","collagen, type IV, alpha 5","CD47","CD47 molecule","other"
"607","COL4A5_CD93","COL4A5","collagen, type IV, alpha 5","CD93","CD93 molecule","other"
"608","COL4A5_ITGA1","COL4A5","collagen, type IV, alpha 5","ITGA1","integrin, alpha 1","other"
"609","COL4A5_ITGA2","COL4A5","collagen, type IV, alpha 5","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"610","COL4A5_ITGAV","COL4A5","collagen, type IV, alpha 5","ITGAV","integrin, alpha V","other"
"611","COL4A5_ITGB1","COL4A5","collagen, type IV, alpha 5","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"612","COL4A6_CD47","COL4A6","collagen, type IV, alpha 6","CD47","CD47 molecule","other"
"613","COL4A6_CD93","COL4A6","collagen, type IV, alpha 6","CD93","CD93 molecule","other"
"614","COL4A6_ITGA1","COL4A6","collagen, type IV, alpha 6","ITGA1","integrin, alpha 1","other"
"615","COL4A6_ITGA2","COL4A6","collagen, type IV, alpha 6","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"616","COL4A6_ITGAV","COL4A6","collagen, type IV, alpha 6","ITGAV","integrin, alpha V","other"
"617","COL4A6_ITGB1","COL4A6","collagen, type IV, alpha 6","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"618","COL5A1_ITGA1","COL5A1","collagen, type V, alpha 1","ITGA1","integrin, alpha 1","other"
"619","COL5A1_ITGB1","COL5A1","collagen, type V, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"620","COL5A1_SDC3","COL5A1","collagen, type V, alpha 1","SDC3","syndecan 3","other"
"621","COL5A2_DDR1","COL5A2","collagen, type V, alpha 2","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"622","COL5A2_ITGA1","COL5A2","collagen, type V, alpha 2","ITGA1","integrin, alpha 1","other"
"623","COL5A2_ITGB1","COL5A2","collagen, type V, alpha 2","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"624","COL5A3_SDC3","COL5A3","collagen, type V, alpha 3","SDC3","syndecan 3","other"
"625","COL6A1_ITGA1","COL6A1","collagen, type VI, alpha 1","ITGA1","integrin, alpha 1","other"
"626","COL6A1_ITGA2","COL6A1","collagen, type VI, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"627","COL6A1_ITGA6","COL6A1","collagen, type VI, alpha 1","ITGA6","integrin, alpha 6","other"
"628","COL6A1_ITGB1","COL6A1","collagen, type VI, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"629","COL6A2_ITGA1","COL6A2","collagen, type VI, alpha 2","ITGA1","integrin, alpha 1","other"
"630","COL6A2_ITGA2","COL6A2","collagen, type VI, alpha 2","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"631","COL6A2_ITGB1","COL6A2","collagen, type VI, alpha 2","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"632","COL6A3_ITGA1","COL6A3","collagen, type VI, alpha 3","ITGA1","integrin, alpha 1","other"
"633","COL6A3_ITGA2","COL6A3","collagen, type VI, alpha 3","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"634","COL6A3_ITGB1","COL6A3","collagen, type VI, alpha 3","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"635","COL7A1_ITGA2","COL7A1","collagen, type VII, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"636","COL7A1_ITGB1","COL7A1","collagen, type VII, alpha 1","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"637","COL8A1_ITGA1","COL8A1","collagen, type VIII, alpha 1","ITGA1","integrin, alpha 1","other"
"638","COL8A1_ITGA2","COL8A1","collagen, type VIII, alpha 1","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"639","COL9A1_MAG","COL9A1","collagen, type IX, alpha 1","MAG","myelin associated glycoprotein","other"
"640","COL9A2_MAG","COL9A2","collagen, type IX, alpha 2","MAG","myelin associated glycoprotein","other"
"641","COL9A3_MAG","COL9A3","collagen, type IX, alpha 3","MAG","myelin associated glycoprotein","other"
"642","COLQ_MUSK","COLQ","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase","MUSK","muscle, skeletal, receptor tyrosine kinase","other"
"643","CORT_GHSR","CORT","cortistatin","GHSR","growth hormone secretagogue receptor","other"
"644","CORT_MRGPRX2","CORT","cortistatin","MRGPRX2","MAS-related GPR, member X2","other"
"645","CORT_SSTR1","CORT","cortistatin","SSTR1","somatostatin receptor 1","other"
"646","CORT_SSTR2","CORT","cortistatin","SSTR2","somatostatin receptor 2","other"
"647","CORT_SSTR3","CORT","cortistatin","SSTR3","somatostatin receptor 3","other"
"648","CORT_SSTR4","CORT","cortistatin","SSTR4","somatostatin receptor 4","other"
"649","CORT_SSTR5","CORT","cortistatin","SSTR5","somatostatin receptor 5","other"
"650","CPAMD8_SCTR","CPAMD8","C3 and PZP-like, alpha-2-macroglobulin domain containing 8","SCTR","secretin receptor","other"
"651","CP_SLC40A1","CP","ceruloplasmin (ferroxidase)","SLC40A1","solute carrier family 40 (iron-regulated transporter), member 1","other"
"652","CRH_CRHR1","CRH","corticotropin releasing hormone","CRHR1","corticotropin releasing hormone receptor 1","other"
"653","CRH_CRHR2","CRH","corticotropin releasing hormone","CRHR2","corticotropin releasing hormone receptor 2","other"
"654","CRH_MC2R","CRH","corticotropin releasing hormone","MC2R","melanocortin 2 receptor (adrenocorticotropic hormone)","other"
"655","CRP_OLR1","CRP","C-reactive protein, pentraxin-related","OLR1","oxidized low density lipoprotein (lectin-like) receptor 1","other"
"656","CSF1_CSF1R","CSF1","colony stimulating factor 1 (macrophage)","CSF1R","colony stimulating factor 1 receptor","other"
"657","CSF2_CSF1R","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","CSF1R","colony stimulating factor 1 receptor","other"
"658","CSF2_CSF2RA","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","CSF2RA","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)","other"
"659","CSF2_CSF2RB","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","CSF2RB","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","other"
"660","CSF2_CSF3R","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","CSF3R","colony stimulating factor 3 receptor (granulocyte)","other"
"661","CSF2_IL3RA","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","IL3RA","interleukin 3 receptor, alpha (low affinity)","other"
"662","CSF2_ITGA9","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","ITGA9","integrin, alpha 9","other"
"663","CSF2_ITGB1","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"664","CSF2_SDC2","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","SDC2","syndecan 2","other"
"665","CSF3_CSF1R","CSF3","colony stimulating factor 3 (granulocyte)","CSF1R","colony stimulating factor 1 receptor","other"
"666","CSF3_CSF3R","CSF3","colony stimulating factor 3 (granulocyte)","CSF3R","colony stimulating factor 3 receptor (granulocyte)","other"
"667","CSH1_PRLR","CSH1","chorionic somatomammotropin hormone 1 (placental lactogen)","PRLR","prolactin receptor","other"
"668","CSH2_PRLR","CSH2","chorionic somatomammotropin hormone 2","PRLR","prolactin receptor","other"
"669","CSHL1_GHR","CSHL1","chorionic somatomammotropin hormone-like 1","GHR","growth hormone receptor","other"
"670","CSHL1_PRLR","CSHL1","chorionic somatomammotropin hormone-like 1","PRLR","prolactin receptor","other"
"671","CTF1_IL6ST","CTF1","cardiotrophin 1","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","other"
"672","CTF1_LIFR","CTF1","cardiotrophin 1","LIFR","leukemia inhibitory factor receptor alpha","other"
"673","CTGF_ERBB4","CTGF","connective tissue growth factor","ERBB4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4","growth factor"
"674","CTGF_ITGA5","CTGF","connective tissue growth factor","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","growth factor"
"675","CTGF_ITGAM","CTGF","connective tissue growth factor","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","growth factor"
"676","CTGF_ITGB2","CTGF","connective tissue growth factor","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","growth factor"
"677","CTGF_LRP1","CTGF","connective tissue growth factor","LRP1","low density lipoprotein receptor-related protein 1","growth factor"
"678","CTGF_LRP6","CTGF","connective tissue growth factor","LRP6","low density lipoprotein receptor-related protein 6","growth factor"
"679","CTGF_NTRK1","CTGF","connective tissue growth factor","NTRK1","neurotrophic tyrosine kinase, receptor, type 1","growth factor"
"680","CTHRC1_FZD3","CTHRC1","collagen triple helix repeat containing 1","FZD3","frizzled class receptor 3","other"
"681","CTHRC1_FZD5","CTHRC1","collagen triple helix repeat containing 1","FZD5","frizzled class receptor 5","other"
"682","CTHRC1_FZD6","CTHRC1","collagen triple helix repeat containing 1","FZD6","frizzled class receptor 6","other"
"683","CUBN_LRP2","CUBN","cubilin (intrinsic factor-cobalamin receptor)","LRP2","low density lipoprotein receptor-related protein 2","other"
"684","CX3CL1_CX3CR1","CX3CL1","chemokine (C-X3-C motif) ligand 1","CX3CR1","chemokine (C-X3-C motif) receptor 1","cytokine"
"685","CXCL10_CCR3","CXCL10","chemokine (C-X-C motif) ligand 10","CCR3","chemokine (C-C motif) receptor 3","cytokine"
"686","CXCL10_CXCR3","CXCL10","chemokine (C-X-C motif) ligand 10","CXCR3","chemokine (C-X-C motif) receptor 3","cytokine"
"687","CXCL10_SDC4","CXCL10","chemokine (C-X-C motif) ligand 10","SDC4","syndecan 4","cytokine"
