ligand,receptor,source,PMIDs
CCL2,CCR3,"fantom5,IUPHAR",8642344
CCL2,CCR4,"fantom5,HPMR",16421945
CCL2,CCR5,"HPRD,IUPHAR,fantom5","16298345,1"
CCL2,ACKR1,"HPRD,fantom5","13679391,17"
CCL3L1,ACKR2,"fantom5,literature,HPRD",10699158
CCL3L1,CCR1,"HPRD,fantom5",11449371
CCL3L1,CCR3,"fantom5,HPRD",11449371
CCL3L1,CCR5,"HPRD,fantom5","11734558,11"
CCL3,ACKR2,"fantom5,literature,HPRD",10699158
CCL3,CCR1,"HPMR,fantom5,IUPHAR,literature,HPRD",10699158
CCL3,CCR3,"fantom5,HPRD",7594543
CCL3,CCR4,"HPRD,fantom5",8573157
CCL3,CCR5,"HPRD,fantom5,literature,IUPHAR,HPMR",10699158
CCL4,ACKR2,"fantom5,literature,HPRD",10699158
CCL4,CCR1,"HPRD,fantom5,IUPHAR,literature",10699158
CCL4,CCR3,"fantom5,HPRD",7622448
CCL4,CCR5,"HPRD,HPMR,IUPHAR,literature,fantom5",10699158
CCL4,CCR8,"literature,fantom5,HPRD",10699158
CCL5,ACKR1,literature,10699158
CCL5,ACKR2,"HPRD,fantom5,literature",10699158
CCL5,ACKR4,"HPRD,fantom5",9469451
CCL5,ADRA2A,reactome,
CCL5,CCR1,"fantom5,literature,IUPHAR,HPRD",10699158
CCL5,CCR3,"fantom5,literature,IUPHAR,HPMR,HPRD",10699158
CCL5,CCR4,"fantom5,HPRD","12270118,86"
CCL5,CCR5,"HPMR,IUPHAR,literature,fantom5,HPRD",10699158
CCL5,CXCR3,"fantom5,IUPHAR",9660793
CCL5,ACKR1,"fantom5,HPRD","12081195,17"
CCL5,GPR75,"IUPHAR,fantom5",17001303
CCL5,GRM7,reactome,
CCL5,MTNR1A,reactome,
CCL5,SDC1,"fantom5,HPRD",14637022
CCL5,SDC4,"fantom5,HPRD",14637022
CCL7,ACKR1,literature,10699158
CCL7,ACKR2,"fantom5,literature,HPRD",10699158
CCL7,ACKR4,"HPRD,fantom5",10734104
CCL7,CCR1,"HPMR,fantom5,IUPHAR,literature,HPRD",10699158
CCL7,CCR10,"HPRD,fantom5",9364936
CCL7,CCR2,"fantom5,literature,IUPHAR,HPMR,HPRD",10699158
CCL7,CCR3,"fantom5,literature,IUPHAR,HPMR,HPRD",10699158
CCL7,CCR5,"HPRD,IUPHAR,literature,fantom5",10699158
CCL7,CXCR3,"IUPHAR,fantom5",9660793
CCL7,ACKR1,"fantom5,HPRD",13679391
CCL8,ACKR2,"fantom5,literature,HPRD",10699158
CCL8,ACKR4,"fantom5,HPRD",10734104
CCL8,CCR1,"HPRD,IUPHAR,literature,fantom5",10699158
CCL8,CCR2,"HPRD,fantom5,IUPHAR,literature",10699158
CCL8,CCR3,"HPRD,HPMR,literature,IUPHAR,fantom5",10699158
CCL8,CCR5,"literature,IUPHAR,fantom5,HPMR,HPRD",10699158
CCL8,ACKR1,"fantom5,HPRD",13679391
CD14,ITGA4,fantom5,17274987
CD14,ITGB1,fantom5,17274987
CD14,ITGB2,reactome,
CD14,RIPK1,reactome,
CD14,TLR4,reactome,
CD14,TLR6,reactome,
CD24,SELP,"HPMR,fantom5,HPRD",9129046
CD274,PDCD1,literature,12889478
CD34,SELL,"HPMR,fantom5",12889478
CD34,SELP,fantom5,
CD36,TLR4,reactome,
CD36,TLR6,reactome,
CD40LG,CD40,"uniprot,IUPHAR,fantom5,HPMR,HPRD","13,741,651,064,799,200,000,000,000,000"
CD40LG,ITGAM,fantom5,
CD40LG,ITGB2,fantom5,
CD40LG,TRAF3,fantom5,
CD48,CD2,uniprot,
CD55,ADGRE5,"HPRD,HPMR,fantom5","12417446,11"
CD55,CR1,"HPRD,fantom5",11694537
CD55,ADGRE2,fantom5,
CD58,CD2,uniprot,
CD5L,CD5,fantom5,9723705
CD70,CD27,"HPRD,IUPHAR,uniprot,fantom5,HPMR","81,203,848,186,199,800,000,000,000,000,000,000,000,000,000,000,000"
CD80,CD28,literature,22437870
CD80,CTLA4,literature,22437870
CD86,CD28,literature,22437870
CD86,CTLA4,literature,22437870
CDH1,CDH2,fantom5,
CDH1,EGFR,"HPRD,fantom5",10969083
CDH1,ERBB3,fantom5,
CDH1,IGF1R,fantom5,22479204
CDH1,ITGAE,"HPRD,fantom5,HPMR","7,969,453,124"
CDH1,ITGB7,"HPRD,reactome,fantom5,HPMR","7,969,453,108"
CDH1,KLRG1,fantom5,
CDH1,LRP5,fantom5,
CDH1,PTPRF,"HPRD,fantom5",12095414
CDH1,PTPRM,"HPRD,fantom5","9,531,566,764,271,310,000,000"
CELA3B,CHRM3,fantom5,
CEL,CXCR4,fantom5,18037996
CFC1,ACVR1B,reactome,
CFC1,ACVR2A,reactome,
CFC1,SMAD3,reactome,
CFH,ITGAM,"fantom5,HPRD",9558116
CFH,SELL,"HPMR,fantom5,HPRD",10377245
CGA,ADCYAP1R1,reactome,
CGA,ADRB2,reactome,
CGA,ADRB3,reactome,
CGA,FSHR,"IUPHAR,fantom5",
CGA,GPR20,reactome,
CGA,GPR84,reactome,
CGA,LHCGR,"HPMR,IUPHAR,fantom5,HPRD","10,342,833,127,279,800,000,000"
CGA,PTH1R,reactome,
CGA,RAMP2,reactome,
CGA,RAMP3,reactome,
CGA,SIRPA,fantom5,
CGA,TSHR,"IUPHAR,fantom5,reactome",
CGA,VIPR1,reactome,
CGB3,LHCGR,"HPRD,IUPHAR,fantom5,HPMR",
CGB3,SIRPA,fantom5,
CGN,F11R,"fantom5,HPRD",10877843
CGN,OCLN,fantom5,
CGN,TGFBR1,fantom5,
CGN,TGFBR2,fantom5,
CHAD,ITGA2,"fantom5,HPMR",9281592
CHAD,ITGB1,"fantom5,HPMR",9281592
CKLF,CCR4,literature,10699158
CLCF1,CNTFR,"HPRD,HPMR,fantom5","109,666,161,129,484,000,000,000"
CLCF1,CRLF1,"HPMR,fantom5,HPRD",10966616
CLCF1,IL6ST,"fantom5,HPMR",10966616
CLCF1,LIFR,"reactome,fantom5,HPMR",10966616
CLEC3A,CLEC10A,fantom5,
CLEC3A,CLEC2B,fantom5,
CNTF,CNTFR,"fantom5,uniprot,HPRD","8,627,290,781,088,210,000,000"
CNTF,IL6R,"HPRD,fantom5",1281789
CNTF,IL6ST,"fantom5,HPRD","12643274,16"
CNTF,LIFR,"HPRD,fantom5","12643274,16"
CNTN2,CNTN1,"HPRD,fantom5",12139915
CNTN2,CNTNAP2,"HPRD,fantom5",12975355
CNTN2,NRCAM,"fantom5,HPRD",12139915
CNTN2,NRP1,fantom5,
CNTN4,PTPRG,fantom5,20133774
COL11A1,DDR1,"fantom5,HPRD",9659900
COL11A1,ITGA2,fantom5,
COL11A1,ITGB1,fantom5,
COL14A1,CD44,"HPRD,fantom5",8986622
COL16A1,ITGB1,reactome,
COL18A1,GPC1,"HPRD,HPMR,fantom5",11336704
COL18A1,GPC4,"HPRD,fantom5",11336704
COL18A1,ITGA3,reactome,
COL18A1,ITGA5,"fantom5,HPMR,HPRD","12682293,11"
COL18A1,ITGB1,"HPMR,fantom5,reactome",12682293
COL18A1,ITGB3,reactome,
COL18A1,ITGB5,reactome,
COL18A1,KDR,"fantom5,HPRD",12029087
COL1A1,CD36,"HPRD,fantom5",2468670
COL1A1,CD44,"HPRD,fantom5",1730778
COL1A1,CD93,"HPRD,fantom5",1377218
COL1A1,DDR1,"fantom5,HPMR",9659900
COL1A1,DDR2,"HPRD,fantom5,HPMR","12611880,97"
COL1A1,FLT4,fantom5,
COL1A1,ITGA1,fantom5,10464311
COL1A1,ITGA11,"fantom5,HPMR","768,831,311,359,786,000,000,000,000,000"
COL1A1,ITGA2,"HPMR,fantom5,HPRD","768,831,311,359,786,000,000,000,000,000"
COL1A1,ITGA5,"fantom5,HPRD",1693626
COL1A1,ITGAV,fantom5,
COL1A1,ITGB1,"fantom5,HPMR","7,688,313,105"
COL1A1,TMPRSS6,"fantom5,HPRD",12149247
COL1A2,CD36,"fantom5,HPRD",10772928
COL1A2,CD44,"fantom5,HPRD",1730778
COL1A2,CD93,"fantom5,HPRD",1377218
COL1A2,FLT4,fantom5,
COL1A2,ITGA1,fantom5,
COL1A2,ITGA11,fantom5,
COL1A2,ITGA2,"HPRD,fantom5",2156854
COL1A2,ITGA2B,"fantom5,HPRD",11359786
COL1A2,ITGAV,fantom5,
COL1A2,ITGB1,fantom5,
COL1A2,ITGB3,"HPRD,fantom5",1693626
COL2A1,DDR1,"fantom5,HPRD",9659900
COL2A1,ITGA1,fantom5,
COL2A1,ITGA10,"fantom5,HPMR",9685391
COL2A1,ITGA2,"HPMR,fantom5",7688313
COL2A1,ITGA2B,"HPRD,fantom5","10772239,75"
COL2A1,ITGB1,"fantom5,HPMR","7,688,313,969"
COL2A1,MAG,"fantom5,HPRD",2446864
COL2A1,OR1E1,fantom5,
COL2A1,TNFRSF10A,"fantom5,HPRD",9811967
COL3A1,DDR1,"HPRD,fantom5",9659900
COL3A1,DDR2,"HPRD,fantom5",9659899
COL3A1,ITGA2,fantom5,
COL3A1,ITGB1,fantom5,
COL3A1,MAG,"HPRD,fantom5",2446864
COL4A1,CD47,fantom5,
COL4A1,CD93,"HPRD,fantom5",1377218
COL4A1,ITGA1,"fantom5,HPMR",8223488
COL4A1,ITGA2,fantom5,
COL4A1,ITGAV,fantom5,14610079
COL4A1,ITGB1,"reactome,HPMR,fantom5",8223488
COL4A1,ITGB8,"fantom5,HPMR",7542940
COL4A2,CD93,"fantom5,HPRD",1377218
COL4A2,ITGB3,reactome,
COL4A2,ITGB5,reactome,
COL4A3,CD47,fantom5,10493512
COL4A3,CD93,"fantom5,HPRD",1377218
COL4A3,ITGA1,fantom5,
COL4A3,ITGA2,fantom5,
COL4A3,ITGA3,reactome,
COL4A3,ITGAV,fantom5,12842087
COL4A3,ITGB1,"reactome,fantom5",
COL4A3,ITGB3,reactome,
COL4A4,CD47,fantom5,
COL4A4,CD93,"HPRD,fantom5",9136074
COL4A4,ITGA1,fantom5,
COL4A4,ITGA2,fantom5,
COL4A4,ITGAV,fantom5,
COL4A4,ITGB1,fantom5,
COL4A4,ITGB3,reactome,
COL4A5,CD47,fantom5,
COL4A5,CD93,"HPRD,fantom5",1377218
COL4A5,ITGA1,fantom5,
COL4A5,ITGA2,fantom5,
COL4A5,ITGAV,fantom5,
COL4A5,ITGB1,fantom5,
COL4A6,CD47,fantom5,
COL4A6,CD93,"HPRD,fantom5",1377218
COL4A6,ITGA1,fantom5,
COL4A6,ITGA2,fantom5,
COL4A6,ITGAV,fantom5,
COL4A6,ITGB1,fantom5,
COL5A1,ITGA1,fantom5,
COL5A1,ITGB1,fantom5,
COL5A1,SDC3,"HPRD,fantom5",11751872
COL5A2,DDR1,"HPRD,fantom5",9659900
COL5A2,ITGA1,fantom5,
COL5A2,ITGB1,fantom5,
COL5A3,SDC3,"HPMR,fantom5",11751872
COL6A1,ITGA1,fantom5,
COL6A1,ITGA2,fantom5,
COL6A1,ITGA6,fantom5,
COL6A1,ITGB1,fantom5,
COL6A2,ITGA1,fantom5,
COL6A2,ITGA2,fantom5,
COL6A2,ITGB1,fantom5,
COL6A3,ITGA1,fantom5,
COL6A3,ITGA2,fantom5,
COL6A3,ITGB1,fantom5,
COL7A1,ITGA2,fantom5,
COL7A1,ITGB1,fantom5,
COL8A1,ITGA1,"HPRD,fantom5","12482545,11"
COL8A1,ITGA2,"fantom5,HPRD","12482545,11"
COL9A1,ITGB1,reactome,
COL9A1,MAG,"HPRD,fantom5",2446864
COL9A2,ITGB1,reactome,
COL9A2,MAG,"fantom5,HPRD",2446864
COL9A3,ITGB1,reactome,
COL9A3,MAG,"HPRD,fantom5",2446864
COLQ,MUSK,"fantom5,HPRD",15159418
COMP,ITGB1,reactome,
COMP,ITGB3,reactome,
CORT,ADRA2A,reactome,
CORT,GHSR,"HPRD,HPMR,fantom5",11227737
CORT,GRM7,reactome,
CORT,MRGPRX2,"fantom5,HPMR,HPRD",12915402
CORT,MTNR1A,reactome,
CORT,SSTR1,"HPMR,fantom5,IUPHAR,HPRD","110,110,679,650,799,000,000,000,000,000,000,000,000,000,000"
CORT,SSTR2,"HPRD,HPMR,IUPHAR,fantom5","912,512,296,507,991,000,000,000,000,000"
CORT,SSTR3,"HPRD,HPMR,IUPHAR,fantom5","9,125,122,965,079,910,000,000,000,000,000,000,000"
CORT,SSTR4,"HPRD,HPMR,fantom5,IUPHAR","1,101,106,796,507,990,000,000,000,000,000,000,000"
CORT,SSTR5,"HPRD,HPMR,IUPHAR,fantom5","110,110,679,650,799,000,000,000,000,000,000,000,000,000,000"
CPAMD8,SCTR,"fantom5,HPRD",1335692
CP,SLC40A1,fantom5,24921009
CRH,ADCYAP1R1,reactome,
CRH,ADRB2,reactome,
CRH,ADRB3,reactome,
CRH,CRHR1,"HPRD,fantom5,IUPHAR,HPMR","853,664,476,924,419,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CRH,CRHR2,"fantom5,IUPHAR,HPMR,HPRD","8,536,644,111,233,700,000,000"
CRH,GPR20,reactome,
CRH,GPR84,reactome,
CRH,MC2R,"IUPHAR,fantom5",
CRH,PTH1R,reactome,
CRH,RAMP2,reactome,
CRH,RAMP3,reactome,
CRH,TSHR,reactome,
CRH,VIPR1,reactome,
CRP,OLR1,fantom5,21821723
CSF1,CSF1R,"uniprot,IUPHAR,fantom5,HPMR,HPRD","788,378,424,087,598,000,000"
CSF2,CSF1R,"IUPHAR,fantom5",
CSF2,CSF2RA,"HPRD,fantom5,uniprot,IUPHAR,HPMR","282,835,210,572,088,000,000,000,000,000,000,000"
CSF2,CSF2RB,"HPMR,fantom5,uniprot,HPRD","282,835,282,783,752,000,000"
CSF2,CSF3R,"HPMR,fantom5",11091218
CSF2,IL3RA,"fantom5,HPRD",7957082
CSF2,ITGA9,fantom5,
CSF2,ITGB1,fantom5,
CSF2,SDC2,"HPRD,fantom5",10734053
CSF3,CSF1R,"fantom5,IUPHAR",
CSF3,CSF3R,"HPRD,fantom5,IUPHAR",10364174
CSH1,PRLR,"IUPHAR,fantom5,HPRD",10966654
CSH2,PRLR,"fantom5,IUPHAR",
CSHL1,GHR,fantom5,
CSHL1,PRLR,"fantom5,IUPHAR",
CTF1,IL6ST,"fantom5,HPRD",11834704
CTF1,LIFR,"fantom5,HPRD",11834704
CTGF,ERBB4,"HPRD,fantom5",12297288
CTGF,ITGA5,fantom5,18167060
CTGF,ITGAM,"fantom5,HPMR",12736251
CTGF,ITGB2,"HPMR,fantom5",12736251
CTGF,LRP1,"fantom5,HPRD",14585398
CTGF,LRP6,"HPMR,fantom5",15105373
CTGF,NTRK1,fantom5,15601748
CTHRC1,FZD3,fantom5,18606138
CTHRC1,FZD5,fantom5,18606138
CTHRC1,FZD6,fantom5,18606138
CUBN,LRP2,"fantom5,HPRD","11994745,12"
CX3CL1,CX3CR1,"HPRD,fantom5,literature,IUPHAR,HPMR",10699158
CXCL10,ADRA2A,reactome,
CXCL10,CCR3,"fantom5,IUPHAR,HPRD",11110785
CXCL10,CXCR3,"HPRD,HPMR,fantom5,IUPHAR,uniprot,literature",10699158
CXCL10,GRM7,reactome,
CXCL10,MTNR1A,reactome,
CXCL10,SDC4,fantom5,20484822
CXCL11,ACKR1,literature,10699158
CXCL11,ACKR3,"IUPHAR,fantom5",
CXCL11,ADRA2A,reactome,
CXCL11,CCR3,"IUPHAR,fantom5,HPRD",11110785
CXCL11,CXCR3,"fantom5,uniprot,IUPHAR,literature,HPMR,HPRD",10699158
CXCL11,GRM7,reactome,
CXCL11,MTNR1A,reactome,
CXCL12,ACKR3,"fantom5,IUPHAR,HPMR","161,073,332,095,651,000,000,000"
CXCL12,ADRA2A,reactome,
CXCL12,CCR4,fantom5,
CXCL12,CD4,"HPRD,fantom5",10600606
CXCL12,CXCR3,"HPMR,fantom5,IUPHAR",9660793
CXCL12,CXCR4,"HPRD,HPMR,fantom5,IUPHAR,literature",10699158
CXCL12,GRM7,reactome,
CXCL12,ITGB1,fantom5,18448868
CXCL12,MTNR1A,reactome,
CXCL12,SDC4,fantom5,
CXCL13,ACKR4,"HPRD,fantom5",10706668
CXCL13,ADRA2A,reactome,
CXCL13,CCR10,"fantom5,HPRD",10706668
CXCL13,CXCR3,"HPRD,fantom5",11554781
CXCL13,CXCR5,"HPMR,IUPHAR,literature,fantom5,HPRD",10699158
CXCL13,GRM7,reactome,
CXCL13,HTR2A,fantom5,
CXCL13,MTNR1A,reactome,
CXCL13,OPRD1,fantom5,
CXCL16,ADRA2A,reactome,
CXCL16,CXCR6,"IUPHAR,fantom5,HPMR,HPRD","14,625,285,112,907,900,000,000,000,000,000"
CXCL16,GRM7,reactome,
CXCL16,MTNR1A,reactome,
CXCL1,ACKR1,literature,10699158
CXCL1,ADRA2A,reactome,
CXCL1,CXCR1,"HPMR,IUPHAR,uniprot,literature,fantom5,HPRD",10699158
CXCL1,CXCR2,"literature,IUPHAR,fantom5,HPRD",10699158
CXCL1,ACKR1,"fantom5,HPMR,HPRD","12734373,76"
CXCL1,GRM7,reactome,
CXCL1,MTNR1A,reactome,
CXCL2,ADRA2A,reactome,
CXCL2,CXCR1,"HPRD,fantom5,HPMR","12964882,93"
CXCL2,CXCR2,"HPRD,fantom5,IUPHAR,literature",10699158
CXCL2,GRM7,reactome,
CXCL2,MTNR1A,reactome,
CXCL2,XCR1,"fantom5,HPMR",10518929
CXCL3,ADRA2A,reactome,
CXCL3,CXCR1,"HPRD,fantom5,HPMR","12964882,87"
CXCL3,CXCR2,"HPRD,fantom5,IUPHAR,literature",10699158
CXCL3,GRM7,reactome,
CXCL3,MTNR1A,reactome,
CXCL5,ACKR1,literature,10699158
CXCL5,ADRA2A,reactome,
CXCL5,CXCR1,"HPMR,fantom5,literature,uniprot,HPRD",10699158
CXCL5,CXCR2,"HPRD,fantom5,IUPHAR,literature",10699158
CXCL5,ACKR1,"HPRD,fantom5",13679391
CXCL5,GRM7,reactome,
CXCL5,MTNR1A,reactome,
CXCL6,ACKR1,literature,10699158
CXCL6,ADRA2A,reactome,
CXCL6,CXCR1,"fantom5,uniprot,IUPHAR,literature,HPMR,HPRD",10699158
CXCL6,CXCR2,"HPRD,IUPHAR,fantom5,HPMR","129,648,829,692,902,000,000,000,000,000"
CXCL6,GRM7,reactome,
CXCL6,MTNR1A,reactome,
CXCL8,ACKR1,literature,10699158
CXCL8,ADRA2A,reactome,
CXCL8,CXCR1,uniprot,10699158
CXCL8,CXCR2,literature,10699158
CXCL8,GRM7,reactome,
CXCL8,MTNR1A,reactome,
CXCL9,ADRA2A,reactome,
CXCL9,CCR3,"HPRD,IUPHAR,fantom5",11110785
CXCL9,CXCR3,"fantom5,literature,IUPHAR,uniprot,HPMR,HPRD",10699158
CXCL9,GRM7,reactome,
CXCL9,MTNR1A,reactome,
CYR61,CAV1,fantom5,
CYR61,ITGA5,"HPMR,fantom5",9446626
CYR61,ITGAM,"HPMR,fantom5",12036876
CYR61,ITGAV,"HPRD,fantom5","10821835,11"
CYR61,ITGB2,"fantom5,HPMR",12036876
CYR61,ITGB3,"HPMR,fantom5",9446626
CYR61,ITGB5,"fantom5,HPRD",11287419
DCN,EGFR,"fantom5,HPRD",12105207
DCN,ERBB4,fantom5,10942781
DCN,MET,fantom5,10942781
DEFB103A,CCR2,fantom5,23390582
DEFB103A,CCR6,"HPRD,fantom5",23390582
DEFB106A,CCR2,literature,23938203
DEFB1,CCR6,"HPRD,literature,fantom5","255,858,772,006,803,000,000,000"
DEFB4A,CCR6,"fantom5,IUPHAR,literature,HPRD","200,680,362,512,263,000,000,000"
DEFB4A,TLR4,"HPRD,fantom5",12411706
DHH,BOC,fantom5,20519495
DHH,CDON,fantom5,20519495
DHH,HHIP,"HPRD,HPMR,fantom5","10050855,11"
DHH,PTCH1,"HPRD,fantom5",9811851
DHH,PTCH2,"fantom5,HPMR,HPRD",9811851
DKK1,KREMEN1,"fantom5,HPMR,HPRD",12050670
DKK1,KREMEN2,"fantom5,HPMR",12050670
DKK1,LRP5,"fantom5,HPRD",11516963
DKK1,LRP6,"HPMR,fantom5,HPRD","11357136,11"
DKK2,KREMEN2,fantom5,12527209
DKK2,LRP6,"HPRD,HPMR,fantom5","113,571,361,174,200,000,000,000"
DLK2,NOTCH1,fantom5,21419176
DLL1,NOTCH1,"HPMR,uniprot,fantom5,HPRD","9819428,11"
DLL1,NOTCH2,"HPRD,uniprot,fantom5",10958687
DLL1,NOTCH3,"fantom5,uniprot,HPRD","12482954,11"
DLL1,NOTCH4,uniprot,
DLL4,NOTCH1,"HPRD,HPMR,uniprot,fantom5","162,198,021,083,702,000,000,000"
DLL4,NOTCH4,"HPRD,uniprot,fantom5,HPMR","16219802,13"
DMP1,ITGB3,reactome,
DSCAM,DCC,fantom5,
DSPP,ITGB1,reactome,
DUSP18,CD151,"fantom5,HPMR",
DUSP18,ITGA1,"fantom5,HPMR",
DUSP18,ITGA2,"fantom5,HPMR",
DUSP18,ITGA3,"HPMR,fantom5",
DUSP18,ITGA6,"fantom5,HPMR",
DUSP18,ITGA7,"fantom5,HPMR",
DUSP18,ITGB1,"HPMR,fantom5",
DUSP18,ITGB4,"fantom5,HPMR",
DUSP18,RPSA,"HPMR,fantom5",
EBI3,IL27RA,"fantom5,uniprot,HPRD",12121660
EBI3,IL6ST,fantom5,
ECM1,CACHD1,fantom5,
EDA,EDA2R,"fantom5,uniprot,IUPHAR,HPMR,HPRD","120,849,751,103,993,000,000,000"
EDA,EDAR,"HPRD,fantom5,IUPHAR,uniprot,HPMR","120,849,751,103,993,000,000,000"
EDIL3,ITGAV,"fantom5,HPRD",11959660
EDIL3,ITGB5,fantom5,
EDN1,EDNRA,"HPRD,fantom5,IUPHAR,HPMR","9,082,970,764,797,610,000,000"
EDN1,EDNRB,"HPRD,fantom5",12972292
EDN1,ADGRL4,fantom5,
EDN1,KEL,"fantom5,HPRD",10438732
EDN2,EDNRA,"HPMR,fantom5,IUPHAR","217,539,790,829,707,000,000"
EDN2,EDNRB,fantom5,14659083
EDN2,KEL,"fantom5,HPRD",10438732
EDN3,EDNRA,"HPRD,fantom5",11982704
EDN3,EDNRB,"HPMR,IUPHAR,fantom5,HPRD","8,001,160,808,648,970,000,000,000,000,000,000,000,000,000"
EDN3,KEL,"fantom5,HPRD",10438732
EFEMP1,EGFR,fantom5,19804359
EFEMP2,AQP1,"fantom5,HPRD",16189514
EFEMP2,CATSPER1,"fantom5,HPRD",16189514
EFEMP2,LINGO1,"HPRD,fantom5",16189514
EFEMP2,PLSCR4,"fantom5,HPRD",16189514
EFNA1,EPHA1,"literature,fantom5,HPMR,HPRD",11114742
EFNA1,EPHA10,literature,11114742
EFNA1,EPHA2,"fantom5,literature,HPMR,HPRD",11114742
EFNA1,EPHA3,"HPRD,fantom5,literature,HPMR",11114742
EFNA1,EPHA4,"HPRD,literature,fantom5,HPMR",11114742
EFNA1,EPHA5,"HPRD,fantom5,literature,HPMR",11114742
EFNA1,EPHA6,"literature,fantom5,HPMR,HPRD,reactome",11114742
EFNA1,EPHA7,"fantom5,literature,HPMR,HPRD",11114742
EFNA1,EPHA8,"HPRD,literature,fantom5",11114742
EFNA1,EPHB1,"fantom5,HPRD","875,547,479,736,388,000,000"
EFNA1,EPHB6,fantom5,
EFNA2,EPHA1,literature,11114742
EFNA2,EPHA10,literature,11114742
EFNA2,EPHA2,"HPRD,literature,fantom5",11114742
EFNA2,EPHA3,"HPMR,fantom5,literature,HPRD",11114742
EFNA2,EPHA4,"literature,fantom5,HPMR",11114742
EFNA2,EPHA5,"HPRD,literature,fantom5,HPMR",11114742
EFNA2,EPHA6,"HPMR,literature,fantom5",11114742
EFNA2,EPHA7,"fantom5,literature,HPMR",11114742
EFNA2,EPHA8,"HPMR,fantom5,literature",11114742
EFNA3,EPHA1,literature,11114742
EFNA3,EPHA10,literature,11114742
EFNA3,EPHA2,"HPRD,HPMR,literature,fantom5",11114742
EFNA3,EPHA3,"HPMR,literature,fantom5",11114742
EFNA3,EPHA4,"HPRD,HPMR,fantom5,literature",11114742
EFNA3,EPHA5,"HPRD,literature,fantom5,HPMR",11114742
EFNA3,EPHA6,"literature,fantom5,HPMR",11114742
EFNA3,EPHA7,"fantom5,literature,HPMR,HPRD",11114742
EFNA3,EPHA8,"HPMR,literature,fantom5",11114742
EFNA3,EPHB1,"fantom5,HPMR",9330863
EFNA3,EPHB6,fantom5,
EFNA4,EPHA1,literature,11114742
EFNA4,EPHA10,literature,11114742
EFNA4,EPHA2,"fantom5,literature,HPMR,HPRD",11114742
EFNA4,EPHA3,literature,11114742
EFNA4,EPHA4,"HPRD,fantom5,literature",11114742
EFNA4,EPHA5,"HPRD,HPMR,literature,fantom5",11114742
EFNA4,EPHA6,"HPMR,literature,fantom5,reactome,HPRD",11114742
EFNA4,EPHA7,"HPRD,literature,fantom5",11114742
EFNA4,EPHA8,"fantom5,literature,HPRD",11114742
EFNA5,EPHA1,literature,11114742
EFNA5,EPHA10,literature,11114742
EFNA5,EPHA2,"HPRD,HPMR,literature,fantom5",11114742
EFNA5,EPHA3,"literature,fantom5,HPMR,HPRD",11114742
EFNA5,EPHA4,"fantom5,literature,HPMR,HPRD",11114742
EFNA5,EPHA5,"HPRD,fantom5,literature,HPMR",11114742
EFNA5,EPHA6,"HPMR,fantom5,literature",11114742
EFNA5,EPHA7,"literature,fantom5,HPRD",11114742
EFNA5,EPHA8,"HPRD,fantom5,literature,HPMR",11114742
EFNA5,EPHB1,"HPRD,fantom5",9245480
EFNA5,EPHB2,"literature,fantom5,HPMR,HPRD",15107857
EFNA5,EPHB6,fantom5,15107857
EFNB1,EPHA6,fantom5,
EFNB1,EPHB1,"HPRD,HPMR,fantom5,literature",11114742
EFNB1,EPHB2,"HPMR,literature,fantom5,HPRD",11114742
EFNB1,EPHB3,"HPMR,fantom5,literature",11114742
EFNB1,EPHB4,"literature,fantom5,HPMR",11114742
EFNB1,EPHB6,"HPMR,fantom5,literature",11114742
EFNB1,ERBB2,fantom5,22279592
EFNB2,EPHA3,"fantom5,HPRD",8559144
EFNB2,EPHA4,"fantom5,HPMR,HPRD","9,330,863,128"
EFNB2,EPHA6,fantom5,10648835
EFNB2,EPHB1,"HPRD,HPMR,fantom5,literature",11114742
EFNB2,EPHB2,"HPRD,HPMR,fantom5,literature",11114742
EFNB2,EPHB3,"HPMR,literature,fantom5",11114742
EFNB2,EPHB4,"literature,fantom5,HPMR,HPRD",11114742
EFNB2,EPHB6,"HPRD,literature,fantom5",11114742
EFNB2,GRM1,"HPRD,fantom5",15745950
EFNB2,GRM5,"fantom5,HPRD",15745950
EFNB2,PECAM1,"fantom5,HPRD",16357318
EFNB2,RHBDL2,"fantom5,HPRD",15047175
EFNB3,EPHA4,"HPMR,literature,fantom5,HPRD",12094214
EFNB3,EPHB1,literature,11114742
EFNB3,EPHB2,"fantom5,literature,HPMR",11114742
EFNB3,EPHB3,"HPRD,literature,fantom5,HPMR",11114742
EFNB3,EPHB4,literature,11114742
EFNB3,EPHB6,literature,11114742
EFNB3,RHBDL2,"HPRD,fantom5",15047175
EGFL8,NCR3,fantom5,
EGF,ADRB2,reactome,
EGF,CAV1,fantom5,
EGF,EGFR,"HPMR,IUPHAR,cellsignal.com,fantom5,HPRD","6,289,330,120,932,920,000,000,000,000,000,000,000,000,000,000,000,000,000"
EGF,ERBB2,"fantom5,reactome,HPRD",12093292
EGF,ERBB3,"fantom5,HPRD",12093292
EGF,ERBB4,fantom5,9305636
EGF,FSHR,fantom5,
EGF,LDLR,reactome,
EGF,LRP2,reactome,
EPGN,EGFR,"fantom5,IUPHAR",
EPO,EPOR,"HPMR,fantom5,IUPHAR,uniprot,HPRD","944,208,816,982,323,000,000,000,000,000"
